,자재,기말 재고 수량,기말 재고 금액,자재 내역,특별 재고,저장 위치,배치,단가,유효기간,남은일,유효기한구간,3평판,_mat_key,원가율,대분류,소분류,평판 * 1.38배,출하원가,출하판가,판가,who,26_1,26_2,26_3,26_4,26_5,26_6,26_7,26_8,26_9,26_10,26_11,26_12,27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,27_10,27_11,27_12,28_1,28_2,28_3,28_4,28_5,28_6,28_7,28_8,28_9,28_10,28_11,28_12,부진재고량,부진재고진입시점,부진재고진입분기,회전월
43,2303459,1000,70000,이지듀클리어라하바디미스트100ML_용기덧방라벨,,5000,,70,2099-12-31,,미상,0,2303459,1.9171254770429087,세트포장재,세트포장재,0,0,0,36512.99867339527,자사,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,0,0,0,0
44,2303460,7000,105000,이지듀디더블유이지에프멜라토닝원데이앰플1ML*7ea_용기덧방라벨,,5000,,15,2099-12-31,,미상,0,2303460,1.9171254770429087,세트포장재,세트포장재,0,0,0,54769.4980100929,자사,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,0,0,0,0
45,2303461,1000,65000,이지듀디더블유이지에프멜라토닝원데이앰플1ML_용기덧방라벨,,5000,,65,2099-12-31,,미상,0,2303461,1.9171254770429087,세트포장재,세트포장재,0,0,0,33904.92733958132,자사,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,0,0,0,0
46,2303465,1000,90000,이지듀멜라글루타치온크림105ML_용기덧방라벨,,5000,,90,2099-12-31,,미상,0,2303465,1.9171254770429087,세트포장재,세트포장재,0,0,0,46945.28400865106,자사,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,0,0,0,0
47,2303466,1000,90000,이지듀디더블유이지에프와이드(프로텍션)패치4G_용기덧방라벨,,5000,,90,2099-12-31,,미상,0,2303466,1.9171254770429087,세트포장재,세트포장재,0,0,0,46945.28400865106,자사,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,0,0,0,0
48,2303467,1000,65000,이지듀멜라비토닝앰플쿠션23호베이지_용기덧방라벨,,5000,,65,2099-12-31,,미상,0,2303467,1.9171254770429087,세트포장재,세트포장재,0,0,0,33904.92733958132,자사,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,0,0,0,0
49,2303468,1000,65000,이지듀멜라비토닝앰플쿠션21호내추럴_용기덧방라벨,,5000,,65,2099-12-31,,미상,0,2303468,1.9171254770429087,세트포장재,세트포장재,0,0,0,33904.92733958132,자사,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,0,0,0,0
50,2303469,1000,65000,이지듀멜라비토닝앰플쿠션19호페어_용기덧방라벨,,5000,,65,2099-12-31,,미상,0,2303469,1.9171254770429087,세트포장재,세트포장재,0,0,0,33904.92733958132,자사,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,0,0,0,0
51,2303476,750,48750,이지듀멜라토닝멜라씨비타에센스토너30ML_용기덧방라벨,,5000,,65,,,미상,0,2303476,1.9171254770429087,세트포장재,세트포장재,34.5,2242.5,1169.7199932155556,25428.69550468599,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.73913043478261
52,2303477,860,77400,이지듀멜라토닝멜라씨비타에센스토너150ML_용기덧방라벨,,5000,,90,,,미상,0,2303477,1.9171254770429087,세트포장재,세트포장재,19.32,1738.8,906.9828870471384,40372.94424743991,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.51345755693582
