창고코드,자재코드,자재명,배치,SAP재고,WMS재고,차이
5000.0,2302671.0,[EA]스킨부스터나이아신토닝샷앰플1ml*7ea_슬리브,,4029,4029,0.0
5000.0,2302672.0,[EA]스킨부스터피디알엔리프팅샷앰플1ml*7ea_슬리브,,4214,4214,0.0
5000.0,2302673.0,[EA]스킨부스터엑소좀포어샷앰플1ml*7ea_슬리브,,4750,4750,0.0
5000.0,2302674.0,[EA]스킨부스터히알루론글로우샷앰플1ml*7ea_슬리브,,4721,4721,0.0
5000.0,2302708.0,이지듀스킨부스터엠티에스앰플3.5g_POP단상자,,644,644,0.0
5000.0,2302909.0,[판촉물_부자재]이지듀 베리어크림30G_슬리브,,1600,1600,0.0
5000.0,2302911.0,[판촉물_부자재]멜라토닝 VIP 고급 대관세트(2025)_싸바리,,105,105,0.0
5000.0,2302912.0,[판촉물_부자재]멜라토닝 VIP 고급 대관세트(2025)_패드,,105,105,0.0
5000.0,2302963.0,[판촉물_부자재]멜라 3-스텝 올인원 스페셜세트(패드)_옐로우,,960,960,0.0
5000.0,2302997.0,[판촉물_부자재]멜라토닝 VIP 고급 대관세트(2025)_리플렛,,185,185,0.0
5000.0,2303105.0,[부자재]카카오선물하기전용선물패키지_VER1,,106,106,0.0
5000.0,2303245.0,이지듀멜라비토닝앰플쿠션19호페어세트(본품+리필2)39g(면세)V3단상자,,705,705,0.0
5000.0,2303246.0,이지듀멜라비토닝앰플쿠션21호내추럴세트(본품+리필2)39g(면세)V3단상자,,1023,1023,0.0
5000.0,2303247.0,이지듀멜라비토닝앰플쿠션23호베이지세트(본품+리필2)39g(면세)V3단상자,,715,715,0.0
5000.0,2303260.0,DW-EGF멜라선와이드패치(4g*4매입)_지퍼백ver*3ea(면세)슬리브,,764,764,0.0
5000.0,2303273.0,[부자재_단상자]이지듀멜라비토닝유브이선세럼40ML더블기획(면세),,1100,1100,0.0
5000.0,2303297.0,클리어징크에스오에스스팟15ml_단상자,,4900,4900,0.0
5000.0,2303299.0,클리어B3+B5세럼29ml_단상자,,4500,4500,0.0
5000.0,2303300.0,클리어아하2%토너200ml_단상자,,1000,1000,0.0
5000.0,2303301.0,클리어바하클렌저100ml_단상자,,1000,1000,0.0
5000.0,2303302.0,클리어라하바디미스트100ml_단상자,,1000,1000,0.0
5000.0,2303304.0,클리어바하바디클렌저300g_단상자,,1000,1000,0.0
5000.0,2303305.0,클리어5애씨드필30ml_단상자,,500,500,0.0
5000.0,2303307.0,멜라토닝비타씨토너150ml_단상자,,980,980,0.0
5000.0,2303308.0,DW-EGF멜라선와이드패치(4g*4매입)_지퍼백ver_단상자,,4400,4400,0.0
5000.0,2303310.0,디더블유이지에프멜라토닝원데이앰플30ml_AD(2024)_단상자,,5000,5000,0.0
5000.0,7001011.0,[판촉물_상품]실리콘클렌징브러쉬(비비또)_오렌지,,467,467,0.0
5000.0,7001012.0,[판촉물_상품]클렌징브러쉬듀오,,4323,4323,0.0
5000.0,7300925.0,[판촉물_상품][EA]사각손거울(95x166mm),,686,686,0.0
5000.0,7301049.0,[상품]이지듀MD크림85g,5UA9711,415,415,0.0
5000.0,7301049.0,[상품]이지듀MD크림85g,5UC9711,1000,1000,0.0
5000.0,7301162.0,[판촉물_부자재][EA]리본고리선물케이스(소형)_판매용,,180,180,0.0
5000.0,7301234.0,[EA]아크네클리어필해면스펀지,,1,1,0.0
5000.0,7301347.0,[판촉물_상품]이지듀가정의달세트_단상자,34747,80,80,0.0
5000.0,7301441.0,[EA]디더블유이지에프더마톡스니들롤러대_미품,,16180,16180,0.0
5000.0,7301514.0,[판촉물_부자재][EA]삼각형쇼핑백(끈조립),,3608,3608,0.0
5000.0,7301542.0,[EA]디더블유이지에프 엠티에스 롤러대_AD(2024),0,8125,8125,0.0
5000.0,7301580.0,[판촉물_상품][EA]멜라라필전용브러쉬,0,1040,1040,0.0
5000.0,7301591.0,레티놀배송지연엽서,0,107,107,0.0
5000.0,7301742.0,"[EA]멜라라필프로페셔널툴즈키트(브러쉬,보울)",D241029001,147,147,0.0
5000.0,7301750.0,[판촉물_부자재]이지듀 한가인 사인엽서,0,18910,18910,0.0
5000.0,7301996.0,[판촉물_부자재] 한가인 사인 엽서(리뉴얼),0,1156,1156,0.0
5000.0,7302002.0,[상품]이지듀MD리젠크림85g,4NA9002,498,498,0.0
5000.0,7302002.0,[상품]이지듀MD리젠크림85g,4UA9002,162,162,0.0
5000.0,7302064.0,[상품]이지듀멜라샷비타민CBA건기식파우더2g*30ea,250735,10610,10610,0.0
5000.0,7302065.0,[상품]이지듀멜라샷비타민CBA건기식파우더2g*3ea,250735,379,379,0.0
